case,rate_hz,section,cutoff_hz,probe_hz,quantum_frames,rbj_magnitude_db,cast_state_magnitude_db,impulse_dft_magnitude_db,sustained_fundamental_db,sustained_residual_db,sustained_total_db,tail_energy,recovery_count
response-high_pass-44100-1-0-0,44100,high_pass,10.00000000000000000,4.00000000000000000,1,-16.02738287747026291,-16.02738235825830770,-16.02737817066901727,-16.02738648600919902,-131.33618179292395212,-16.02738648903881824,0.00000000000000000,0
response-high_pass-44100-127-0-0,44100,high_pass,10.00000000000000000,4.00000000000000000,127,-16.02738287747026291,-16.02738235825830770,-16.02737817066901727,-16.02738648600919902,-131.33618179292395212,-16.02738648903881824,0.00000000000000000,0
response-high_pass-44100-128-0-0,44100,high_pass,10.00000000000000000,4.00000000000000000,128,-16.02738287747026291,-16.02738235825830770,-16.02737817066901727,-16.02738648600919902,-131.33618179292395212,-16.02738648903881824,0.00000000000000000,0
response-high_pass-44100-255-0-0,44100,high_pass,10.00000000000000000,4.00000000000000000,255,-16.02738287747026291,-16.02738235825830770,-16.02737817066901727,-16.02738648600919902,-131.33618179292395212,-16.02738648903881824,0.00000000000000000,0
response-high_pass-44100-1024-0-0,44100,high_pass,10.00000000000000000,4.00000000000000000,1024,-16.02738287747026291,-16.02738235825830770,-16.02737817066901727,-16.02738648600919902,-131.33618179292395212,-16.02738648903881824,0.00000000000000000,0
response-high_pass-44100-1-0-1,44100,high_pass,10.00000000000000000,10.00000000000000000,1,-3.01029995704353759,-3.01029975066095679,-3.01029608681077576,-3.01030702155946450,-80.84956204233108679,-3.01030702326986299,0.00000000000000000,0
response-high_pass-44100-127-0-1,44100,high_pass,10.00000000000000000,10.00000000000000000,127,-3.01029995704353759,-3.01029975066095679,-3.01029608681077576,-3.01030702155946450,-80.84956204233108679,-3.01030702326986299,0.00000000000000000,0
response-high_pass-44100-128-0-1,44100,high_pass,10.00000000000000000,10.00000000000000000,128,-3.01029995704353759,-3.01029975066095679,-3.01029608681077576,-3.01030702155946450,-80.84956204233108679,-3.01030702326986299,0.00000000000000000,0
response-high_pass-44100-255-0-1,44100,high_pass,10.00000000000000000,10.00000000000000000,255,-3.01029995704353759,-3.01029975066095679,-3.01029608681077576,-3.01030702155946450,-80.84956204233108679,-3.01030702326986299,0.00000000000000000,0
response-high_pass-44100-1024-0-1,44100,high_pass,10.00000000000000000,10.00000000000000000,1024,-3.01029995704353759,-3.01029975066095679,-3.01029608681077576,-3.01030702155946450,-80.84956204233108679,-3.01030702326986299,0.00000000000000000,0
